Barangay,Longitude,Latitude
Quirino 2-A,121.05678064125541,14.630027451110184
Quirino 2-B,121.05973548205267,14.631901292455867
Quirino 2-C,121.06118258928657,14.634063595285623
Quirino 3-A,121.06405774616485,14.628700845731176
Ramon Magsaysay,121.02115786776834,14.65810350518419
Roxas,121.01898895178218,14.627314093093023
Sacred Heart,121.03641718845854,14.630961483306042
Saint Ignatius,121.07078001541734,14.612944526743203
Saint Peter,120.99636748123395,14.634694050845306
Salvacion,120.99059061510054,14.626335040552792
San Agustin,121.04185982808296,14.72359095563987
San Antonio,121.01442019463131,14.649588294963015
San Bartolome,121.03305315885989,14.701194588598538
San Isidro,121.00506525017781,14.613262840848572
San Isidro Labrador,120.99275768250811,14.623757200657977
San Jose,120.99020452341807,14.640262532429597
San Martin de Porres,121.04744452203941,14.617373503027006
San Roque,121.0599888278085,14.619012377602177
San Vicente,121.05482613252282,14.651982598916831
Sangandaan,121.01801355362214,14.672441949262184
Santa Cruz,121.01777127533339,14.635177310983696
Santa Lucia,121.05603965010519,14.703595662340975
Santa Monica,121.05235233442022,14.713652765724596
Santa Teresita,120.99686408080053,14.620612938602724
Santo Cristo,121.02749534639881,14.65894238081719
Santo Niño,121.00868080779664,14.611392453746385
Santol,121.01223923839622,14.6110123345267
Sauyo,121.04746058072836,14.69142186051123
Sienna,121.0011517102268,14.636092631729895
Sikatuna Village,121.05723767302995,14.637554795907876
Silangan,121.05669831619522,14.62717017555778
Socorro,121.05418333665182,14.617417998080995
South Triangle,121.03378561534633,14.637303872823946
Tagumpay,121.06169117924273,14.621797163752245
Talayan,121.00810535553482,14.634436654180304
Talipapa,121.0249984580613,14.683607030234628
Tandang Sora,121.04082669605407,14.679937135274416
Tatalon,121.01075290819729,14.623449807058272
Teachers Village East,121.05437962054215,14.641914290811776
Teachers Village West,121.05727334068301,14.643340493420567
U.P. Campus,121.063096911057,14.653998334659155
U.P. Village,121.05447821506569,14.64781830325132
Ugong Norte,121.06879927321681,14.5968216962946
Unang Sigaw,120.99902349691996,14.658312177804666
Valencia,121.03404917653984,14.610881185233437
Vasra,121.04499566832553,14.655730734609733
Veterans Village,121.02192328350067,14.653842044277905
Villa Maria Clara,121.06671810175132,14.616532303630265
West Kamias,121.04653119036303,14.62984047735567
West Triangle,121.028937020415,14.64235197366974
White Plains,121.07065690864225,14.606538820355446
